AGEN,"Agenus, Inc.",Health Technology
AGI,"Alamos Gold, Inc.",Non-Energy Minerals
AGIO,"Agios Pharmaceuticals, Inc.",Health Technology
AGLE,"Aeglea Biotherapeutics, Inc.",Health Technology
AGM,Federal Agricultural Mortgage Corp.,Finance
AGNC,AGNC Investment Corp.,Finance
AGO,Assured Guaranty Ltd.,Finance
AGR,"Avangrid, Inc.",Utilities
AGRO,Adecoagro SA,Process Industries
AGRX,"Agile Therapeutics, Inc.",Health Technology
AGX,"Argan, Inc.",Industrial Services
AGYS,"Agilysys, Inc.",Technology Services
AHCO,AdaptHealth Corp.,Finance
AHH,"Armada Hoffler Properties, Inc.",Finance
AIG,"American International Group, Inc.",Finance
AIMC,Altra Industrial Motion Corp.,Producer Manufacturing
AIMT,"Aimmune Therapeutics, Inc.",Health Technology
AIN,Albany International Corp.,Process Industries
AIR,AAR Corp.,Electronic Technology
AIT,"Applied Industrial Technologies, Inc.",Distribution Services
AIV,Apartment Investment & Management Co.,Finance
AIZ,"Assurant, Inc.",Finance
AJG,Arthur J. Gallagher & Co.,Finance
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Electronic Technology
AJX,Great Ajax Corp.,Finance
AKAM,"Akamai Technologies, Inc.",Technology Services
AKBA,"Akebia Therapeutics, Inc.",Health Technology
AKCA,"Akcea Therapeutics, Inc.",Health Technology
AKR,Acadia Realty Trust,Finance
AKRO,"Akero Therapeutics, Inc.",Health Technology
AKTS,"Akoustis Technologies, Inc.",Electronic Technology
AKUS,"Akouos, Inc.",Health Technology
AL,Air Lease Corp.,Finance
ALB,Albemarle Corp.,Process Industries
ALBO,"Albireo Pharma, Inc.",Health Technology
ALC,"Alcon, Inc.",Health Technology
ALCO,"Alico, Inc.",Process Industries
ALDX,"Aldeyra Therapeutics, Inc.",Health Technology
ALE,"ALLETE, Inc.",Utilities
ALEC,"Alector, Inc.",Health Technology
ALEX,"Alexander & Baldwin, Inc.",Finance
ALG,"Alamo Group, Inc.",Producer Manufacturing
ALGN,"Align Technology, Inc.",Health Technology
ALGT,Allegiant Travel Co.,Transportation
ALK,"Alaska Air Group, Inc.",Transportation
ALKS,Alkermes Plc,Health Technology
ALL,The Allstate Corp.,Finance
ALLE,Allegion Plc,Producer Manufacturing
ALLK,"Allakos, Inc.",Health Technology
ALLO,"Allogene Therapeutics, Inc.",Health Technology
ALLT,Allot Ltd.,Electronic Technology
ALLY,"Ally Financial, Inc.",Finance
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Technology
ALPN,"Alpine Immune Sciences, Inc.",Health Technology
ALRM,"Alarm.com Holdings, Inc.",Technology Services
ALRS,Alerus Financial Corp.,Finance
ALSN,"Allison Transmission Holdings, Inc.",Producer Manufacturing
ALT,"Altimmune, Inc.",Commercial Services
ALTA,Altabancorp,Finance
ALTG,"Alta Equipment Group, Inc.",Distribution Services
ALTR,"Altair Engineering, Inc.",Technology Services
ALUS,Alussa Energy Acquisition Corp.,Finance
ALV,"Autoliv, Inc.",Producer Manufacturing
ALVR,"AlloVir, Inc.",Health Technology
ALX,"Alexander's, Inc.",Finance
ALXN,"Alexion Pharmaceuticals, Inc.",Health Technology
ALXO,"ALX Oncology Holdings, Inc.",Commercial Services
AM,Antero Midstream Corp.,Industrial Services
AMAG,"AMAG Pharmaceuticals, Inc.",Health Technology
AMAL,Amalgamated Bank,Finance
AMAT,"Applied Materials, Inc.",Producer Manufacturing
AMBA,"Ambarella, Inc.",Electronic Technology
AMBC,"Ambac Financial Group, Inc.",Finance
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services
AMCI,AMCI Acquisition Corp.,Finance
AMCR,Amcor Plc,Process Industries
AMCX,"AMC Networks, Inc.",Consumer Services
AMD,"Advanced Micro Devices, Inc.",Electronic Technology
AME,"AMETEK, Inc.",Producer Manufacturing
AMED,"Amedisys, Inc.",Health Services
AMEH,"Apollo Medical Holdings, Inc.",Health Services
AMG,"Affiliated Managers Group, Inc.",Finance
AMGN,"Amgen, Inc.",Health Technology
AMH,American Homes 4 Rent,Finance
AMK,"AssetMark Financial Holdings, Inc.",Finance
AMKR,"Amkor Technology, Inc.",Electronic Technology
AMN,"AMN Healthcare Services, Inc.",Commercial Services
AMNB,"American National Bankshares, Inc. (Virginia)",Finance
AMOT,"Allied Motion Technologies, Inc.",Electronic Technology
AMP,"Ameriprise Financial, Inc.",Finance
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Technology
AMRC,"Ameresco, Inc.",Industrial Services
AMRK,"A-Mark Precious Metals, Inc.",Finance
AMRS,"Amyris, Inc.",Process Industries
AMRX,"Amneal Pharmaceuticals, Inc.",Health Technology
AMSC,American Superconductor Corp.,Producer Manufacturing
AMSF,"AMERISAFE, Inc.",Finance
AMSWA,"American Software, Inc.",Technology Services
AMT,American Tower Corp.,Finance
AMTB,"Amerant Bancorp, Inc.",Finance
AMTI,"Applied Molecular Transport, Inc.",Health Technology
AMWD,American Woodmark Corp.,Producer Manufacturing
AMWL,American Well Corp.,Technology Services
AMZN,"Amazon.com, Inc.",Retail Trade
AN,"AutoNation, Inc.",Retail Trade
ANAB,"AnaptysBio, Inc.",Health Technology
ANAT,"American National Group, Inc.",Finance
ANDE,"The Andersons, Inc.",Process Industries
ANET,"Arista Networks, Inc.",Electronic Technology
ANF,Abercrombie & Fitch Co.,Retail Trade
ANGI,"ANGI Homeservices, Inc.",Technology Services
ANGO,"AngioDynamics, Inc.",Health Technology
ANIK,"Anika Therapeutics, Inc.",Health Technology
ANIP,"ANI Pharmaceuticals, Inc.",Health Technology
ANNX,"Annexon, Inc.",Health Technology
ANSS,"ANSYS, Inc.",Technology Services
ANTM,"Anthem, Inc.",Health Services
AON,Aon Plc,Finance
AOS,A. O. Smith Corp.,Producer Manufacturing
AOSL,Alpha & Omega Semiconductor Ltd.,Electronic Technology
APA,Apache Corp.,Energy Minerals
APAM,"Artisan Partners Asset Management, Inc.",Finance
APD,"Air Products & Chemicals, Inc.",Process Industries
APEI,"American Public Education, Inc.",Consumer Services
APG,APi Group Corp.,Finance
APH,Amphenol Corp.,Electronic Technology
APHA,"Aphria, Inc.",Process Industries
APLE,"Apple Hospitality REIT, Inc.",Finance
APLS,"Apellis Pharmaceuticals, Inc.",Health Technology
APLT,"Applied Therapeutics, Inc.",Health Technology
APO,"Apollo Global Management, Inc.",Finance
APOG,"Apogee Enterprises, Inc.",Producer Manufacturing
APPF,"AppFolio, Inc.",Technology Services
APPN,Appian Corp.,Technology Services
APPS,"Digital Turbine, Inc.",Technology Services
APRE,"Aprea Therapeutics, Inc.",Health Technology
APT,Alpha Pro Tech Ltd.,Health Technology
APTO,"Aptose Biosciences, Inc.",Health Technology
APTS,"Preferred Apartment Communities, Inc.",Finance
APTV,Aptiv Plc,Producer Manufacturing
APXT,Apex Technology Acquisition Corp.,Finance
AQN,Algonquin Power & Utilities Corp.,Utilities
AQUA,Evoqua Water Technologies Corp.,Industrial Services
AR,Antero Resources Corp.,Energy Minerals
ARA,"American Renal Associates Holdings, Inc.",Health Services
ARAY,"Accuray, Inc.",Health Technology
ARCB,ArcBest Corp.,Transportation
ARCC,Ares Capital Corp.,Finance
ARCE,Arco Platform Ltd.,Technology Services
ARCH,"Arch Resources, Inc.",Energy Minerals
ARCO,"Arcos Dorados Holdings, Inc.",Consumer Services
ARCT,"Arcturus Therapeutics Holdings, Inc.",Health Technology
ARD,Ardagh Group SA,Process Industries
ARDX,"Ardelyx, Inc.",Health Technology
ARE,"Alexandria Real Estate Equities, Inc.",Finance
ARES,Ares Management Corp.,Finance
ARGO,Argo Group International Holdings Ltd.,Finance
ARI,"Apollo Commercial Real Estate Finance, Inc.",Finance
ARLO,"Arlo Technologies, Inc.",Consumer Durables
ARLP,Alliance Resource Partners LP,Energy Minerals
ARMK,Aramark,Consumer Services
ARNA,"Arena Pharmaceuticals, Inc.",Health Technology
ARNC,Arconic Corp.,Non-Energy Minerals
AROC,"Archrock, Inc.",Industrial Services
AROW,Arrow Financial Corp.,Finance
ARQT,"Arcutis Biotherapeutics, Inc.",Health Technology
ARR,"ARMOUR Residential REIT, Inc.",Finance
ARTNA,Artesian Resources Corp.,Utilities
ARVN,"Arvinas, Inc.",Health Technology
ARW,"Arrow Electronics, Inc.",Distribution Services
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Technology
ASAN,"Asana, Inc.",Technology Services
ASB,Associated Banc-Corp,Finance
ASGN,"ASGN, Inc.",Commercial Services
ASH,"Ashland Global Holdings, Inc.",Process Industries
ASIX,"Advansix, Inc.",Process Industries
ASMB,"Assembly Biosciences, Inc.",Health Technology
ASO,"Academy Sports & Outdoors, Inc.",Retail Trade
ASPN,"Aspen Aerogels, Inc.",Process Industries
ASPS,Altisource Portfolio Solutions SA,Finance
ASPU,"Aspen Group, Inc.",Consumer Durables
ASTE,"Astec Industries, Inc.",Producer Manufacturing
ATAX,America First Multifamily Investors LP,Finance
ATCO,Atlas Corp. (British Columbia),Finance
ATCX,"Atlas Technical Consultants, Inc.",Finance
ATEC,"Alphatec Holdings, Inc.",Health Technology
ATEN,"A10 Networks, Inc.",Technology Services
ATEX,"Anterix, Inc.",Communications
ATGE,"Adtalem Global Education, Inc.",Consumer Services
ATH,Athene Holding Ltd.,Finance
ATHA,"Athira Pharma, Inc.",Health Technology
ATHX,"Athersys, Inc.",Health Technology
ATI,"Allegheny Technologies, Inc.",Non-Energy Minerals
ATKR,"Atkore International Group, Inc.",Producer Manufacturing
ATLC,Atlanticus Holdings Corp.,Finance
ATNI,"ATN International, Inc.",Communications
ATNX,"Athenex, Inc.",Health Technology
ATO,Atmos Energy Corp.,Utilities
ATOM,"Atomera, Inc.",Commercial Services
ATR,"AptarGroup, Inc.",Process Industries
ATRA,"Atara Biotherapeutics, Inc.",Health Technology
ATRC,"AtriCure, Inc.",Health Technology
ATRI,Atrion Corp.,Health Technology
ATRO,Astronics Corp.,Electronic Technology
ATRS,"Antares Pharma, Inc.",Health Technology
ATSG,"Air Transport Services Group, Inc.",Transportation
ATUS,"Altice USA, Inc.",Consumer Services
ATVI,"Activision Blizzard, Inc.",Consumer Durables
AUB,Atlantic Union Bankshares Corp.,Finance
AUDC,AudioCodes Ltd.,Electronic Technology
AUG,"Auryn Resources, Inc.",Non-Energy Minerals
AUPH,"Aurinia Pharmaceuticals, Inc.",Health Technology
AUY,"Yamana Gold, Inc.",Non-Energy Minerals
AVA,Avista Corp.,Utilities
AVAV,"AeroVironment, Inc.",Electronic Technology
AVB,"AvalonBay Communities, Inc.",Finance
AVD,American Vanguard Corp.,Process Industries
AVGO,"Broadcom, Inc.",Electronic Technology
AVID,"Avid Technology, Inc.",Technology Services
AVLR,"Avalara, Inc.",Technology Services
AVNS,"Avanos Medical, Inc.",Health Technology
AVNT,Avient Corp.,Process Industries
AVO,"Mission Produce, Inc.",Process Industries
AVRO,"Avrobio, Inc.",Health Technology
AVT,"Avnet, Inc.",Distribution Services
AVTR,"Avantor, Inc.",Process Industries
AVXL,Anavex Life Sciences Corp.,Health Technology
AVY,Avery Dennison Corp.,Process Industries
AVYA,Avaya Holdings Corp.,Electronic Technology
AWH,"Aspira Women's Health, Inc.",Health Technology
AWI,"Armstrong World Industries, Inc.",Producer Manufacturing
AWK,"American Water Works Co., Inc.",Utilities
AWR,American States Water Co.,Utilities
AX,"Axos Financial, Inc.",Finance
AXDX,"Accelerate Diagnostics, Inc.",Health Technology
AXGN,"AxoGen, Inc.",Health Technology
AXGT,Axovant Gene Therapies Ltd.,Health Technology
AXL,"American Axle & Manufacturing Holdings, Inc.",Producer Manufacturing
AXNX,"Axonics Modulation Technologies, Inc.",Health Technology
AXP,American Express Co.,Finance
AXS,AXIS Capital Holdings Ltd.,Finance
AXSM,"Axsome Therapeutics, Inc.",Health Technology
AXTA,Axalta Coating Systems Ltd.,Process Industries
AXTI,"AXT, Inc.",Electronic Technology
AXU,Alexco Resource Corp.,Non-Energy Minerals
AY,Atlantica Sustainable Infrastructure Plc,Utilities
AYI,"Acuity Brands, Inc.",Producer Manufacturing
AYX,"Alteryx, Inc.",Technology Services
AZEK,"The AZEK Co., Inc.",Producer Manufacturing
AZO,"AutoZone, Inc.",Retail Trade
AZPN,"Aspen Technology, Inc.",Technology Services
AZRE,Azure Power Global Ltd.,Utilities
AZZ,"AZZ, Inc.",Producer Manufacturing
B,"Barnes Group, Inc.",Producer Manufacturing
BA,The Boeing Co.,Electronic Technology
BAC,Bank of America Corp.,Finance
BAH,Booz Allen Hamilton Holding Corp.,Commercial Services
BAM,"Brookfield Asset Management, Inc.",Finance
BANC,"Banc of California, Inc.",Finance
BAND,"Bandwidth, Inc.",Commercial Services
BANF,BancFirst Corp. (Oklahoma),Finance
BANR,Banner Corp.,Finance
BAP,Credicorp Ltd.,Finance
BATRA,Liberty Media Corp. Liberty Braves,Consumer Services
BATRK,Liberty Media Corp. Liberty Braves,Consumer Services
BAX,"Baxter International, Inc.",Health Technology
BB,BlackBerry Ltd.,Technology Services
BBBY,"Bed Bath & Beyond, Inc.",Retail Trade
BBCP,"Concrete Pumping Holdings, Inc.",Finance
BBDC,"Barings BDC, Inc.",Finance
BBIO,"BridgeBio Pharma, Inc.",Health Technology
BBSI,"Barrett Business Services, Inc.",Commercial Services
BBU,Brookfield Business Partners LP,Commercial Services
BBY,"Best Buy Co., Inc.",Retail Trade
BC,Brunswick Corp.,Consumer Durables
BCC,Boise Cascade Co.,Non-Energy Minerals
BCE,"BCE, Inc.",Communications
BCEI,"Bonanza Creek Energy, Inc.",Energy Minerals
BCEL,"Atreca, Inc.",Health Technology
BCLI,"Brainstorm Cell Therapeutics, Inc.",Health Technology
BCO,The Brink's Co.,Commercial Services
BCOR,"Blucora, Inc.",Technology Services
BCOV,"Brightcove, Inc.",Technology Services
BCPC,Balchem Corp.,Process Industries
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Technology
BCSF,"Bain Capital Specialty Finance, Inc.",Miscellaneous
BCTG,BCTG Acquisition Corp.,Finance
BDC,"Belden, Inc.",Producer Manufacturing
BDGE,"Bridge Bancorp, Inc.",Finance
BDN,Brandywine Realty Trust,Finance
BDSI,"BioDelivery Sciences International, Inc.",Health Technology
BDTX,"Black Diamond Therapeutics, Inc.",Health Technology
BDX,"Becton, Dickinson & Co.",Health Technology
BE,Bloom Energy Corp.,Producer Manufacturing
BEAM,"Beam Therapeutics, Inc.",Health Technology
BEAT,"BioTelemetry, Inc.",Health Technology
BECN,"Beacon Roofing Supply, Inc.",Distribution Services
BEN,"Franklin Resources, Inc.",Finance
BEP,Brookfield Renewable Partners LP,Utilities
BEPC,Brookfield Renewable Corp.,Finance
BERY,"Berry Global Group, Inc.",Process Industries
BF.A,Brown-Forman Corp.,Consumer Non-Durables
BF.B,Brown-Forman Corp.,Consumer Non-Durables
BFAM,"Bright Horizons Family Solutions, Inc.",Commercial Services
BFC,Bank First Corp.,Finance
BFS,"Saul Centers, Inc.",Finance
BFST,"Business First Bancshares, Inc.",Finance
BG,Bunge Ltd.,Process Industries
BGCP,"BGC Partners, Inc.",Finance
BGS,"B&G Foods, Inc.",Consumer Non-Durables
BH,"Biglari Holdings, Inc.",Consumer Services
BHB,Bar Harbor Bankshares,Finance
BHC,"Bausch Health Cos., Inc.",Health Technology
BHE,"Benchmark Electronics, Inc.",Electronic Technology
BHF,"Brighthouse Financial, Inc.",Finance
BHLB,"Berkshire Hills Bancorp, Inc.",Finance
BHVN,Biohaven Pharmaceutical Holding Co. Ltd.,Health Technology
BIG,"Big Lots, Inc.",Retail Trade
BIGC,"BigCommerce Holdings, Inc.",Technology Services
BIIB,"Biogen, Inc.",Health Technology
BILL,"Bill.com Holdings, Inc.",Technology Services
BIO,"Bio-Rad Laboratories, Inc.",Health Technology
BIOX,Bioceres Crop Solutions Corp.,Finance
BIP,Brookfield Infrastructure Partners LP,Utilities
BIPC,Brookfield Infrastructure Corp. (New York),Utilities
BJ,"BJ's Wholesale Club Holdings, Inc.",Retail Trade
BJRI,"BJ's Restaurants, Inc.",Consumer Services
BK,The Bank of New York Mellon Corp.,Finance
BKD,"Brookdale Senior Living, Inc.",Health Services
BKE,"The Buckle, Inc.",Retail Trade
BKH,Black Hills Corp.,Utilities
BKI,"Black Knight, Inc.",Technology Services
BKNG,"Booking Holdings, Inc.",Consumer Services
BKR,Baker Hughes Co.,Industrial Services
BKU,"BankUnited, Inc.",Finance
BL,"BlackLine, Inc.",Technology Services
BLBD,Blue Bird Corp.,Producer Manufacturing
BLD,TopBuild Corp.,Producer Manufacturing
BLDP,"Ballard Power Systems, Inc.",Producer Manufacturing
BLDR,"Builders FirstSource, Inc.",Producer Manufacturing
BLFS,"BioLife Solutions, Inc.",Health Technology
BLI,"Berkeley Lights, Inc.",Technology Services
BLK,"BlackRock, Inc.",Finance
BLKB,"Blackbaud, Inc.",Technology Services
BLL,Ball Corp.,Process Industries
BLMN,"Bloomin' Brands, Inc.",Consumer Services
BLNK,Blink Charging Co.,Consumer Services
BLUE,"bluebird bio, Inc.",Health Technology
BLX,Banco Latinoamericano de Comercio Exterior SA,Finance
BMCH,"BMC Stock Holdings, Inc.",Producer Manufacturing
BMI,"Badger Meter, Inc.",Producer Manufacturing
BMO,Bank of Montreal,Finance
BMRC,Bank of Marin Bancorp,Finance
BMRG,B. Riley Principal Merger Corp. II,Finance
BMRN,"BioMarin Pharmaceutical, Inc.",Health Technology
BMTC,Bryn Mawr Bank Corp.,Finance
BMY,Bristol Myers Squibb Co.,Health Technology
BNFT,"Benefitfocus, Inc.",Technology Services
BNL,"Broadstone Net Lease, Inc.",Finance
BNS,The Bank of Nova Scotia,Finance
BOH,Bank of Hawaii Corp.,Finance
BOKF,BOK Financial Corp.,Finance
BOMN,Boston Omaha Corp.,Commercial Services
BOOM,"DMC Global, Inc.",Producer Manufacturing
BOOT,"Boot Barn Holdings, Inc.",Retail Trade
BOX,"Box, Inc.",Technology Services
BPFH,"Boston Private Financial Holdings, Inc.",Finance
BPMC,Blueprint Medicines Corp.,Health Technology
BPMP,BP Midstream Partners LP,Industrial Services
BPOP,"Popular, Inc.",Finance
BPY,Brookfield Property Partners LP,Finance
BPYU,"Brookfield Property REIT, Inc.",Finance
BR,"Broadridge Financial Solutions, Inc.",Commercial Services
BRBR,"BellRing Brands, Inc.",Health Technology
BRC,Brady Corp.,Producer Manufacturing
BRG,"Bluerock Residential Growth REIT, Inc.",Finance
BRK.A,"Berkshire Hathaway, Inc.",Finance
BRK.B,"Berkshire Hathaway, Inc.",Finance
BRKL,"Brookline Bancorp, Inc.",Finance
BRKR,Bruker Corp.,Health Technology
BRKS,"Brooks Automation, Inc.",Electronic Technology
BRMK,"Broadmark Realty Capital, Inc.",Finance
BRO,"Brown & Brown, Inc.",Finance
BRP,"BRP Group, Inc.",Finance
BRT,BRT Apartments Corp.,Finance
BRX,"Brixmor Property Group, Inc.",Finance
BRY,Berry Corp.,Energy Minerals
BSIG,"BrightSphere Investment Group, Inc.",Finance
BSM,Black Stone Minerals LP,Energy Minerals
BSRR,Sierra Bancorp,Finance
BSTC,Biospecifics Technologies Corp.,Health Technology
BSX,Boston Scientific Corp.,Health Technology
BSY,"Bentley Systems, Inc.",Technology Services
BTAI,"BioXcel Therapeutics, Inc.",Health Technology
BTG,B2Gold Corp.,Non-Energy Minerals
BTU,Peabody Energy Corp.,Energy Minerals
BURL,"Burlington Stores, Inc.",Retail Trade
BUSE,First Busey Corp.,Finance
BV,"BrightView Holdings, Inc.",Commercial Services
BWA,"BorgWarner, Inc.",Producer Manufacturing
BWB,"Bridgewater Bancshares, Inc.",Finance
BWMX,Betterware de México SAPI de CV,Retail Trade
BWXT,"BWX Technologies, Inc.",Utilities
BX,"The Blackstone Group, Inc.",Finance
BXC,"BlueLinx Holdings, Inc.",Distribution Services
BXG,Bluegreen Vacations Corp.,Finance
BXMT,"Blackstone Mortgage Trust, Inc.",Finance
BXP,"Boston Properties, Inc.",Finance
BXS,BancorpSouth Bank,Finance
BY,"Byline Bancorp, Inc.",Finance
BYD,Boyd Gaming Corp.,Consumer Services
BYND,"Beyond Meat, Inc.",Consumer Non-Durables
BYSI,"BeyondSpring, Inc.",Health Technology
BZH,"Beazer Homes USA, Inc.",Consumer Durables
C,"Citigroup, Inc.",Finance
CAAP,Corporacion America Airports SA,Transportation
CABA,"Cabaletta Bio, Inc.",Health Technology
CABO,"Cable One, Inc.",Consumer Services
CAC,Camden National Corp. (Maine),Finance
CACC,Credit Acceptance Corp.,Finance
CACI,"CACI International, Inc.",Technology Services
CADE,Cadence Bancorporation,Finance
CAE,"CAE, Inc.",Commercial Services
CAG,"Conagra Brands, Inc.",Consumer Non-Durables
CAH,"Cardinal Health, Inc.",Distribution Services
CAI,"CAI International, Inc.",Finance
CAKE,"Cheesecake Factory, Inc.",Consumer Services
CAL,"Caleres, Inc.",Consumer Non-Durables
CALA,"Calithera Biosciences, Inc.",Health Technology
CALM,"Cal-Maine Foods, Inc.",Consumer Non-Durables
CALX,"Calix, Inc.",Electronic Technology
CAMP,CalAmp Corp.,Electronic Technology
CAMT,Camtek Ltd.,Electronic Technology
CAPL,CrossAmerica Partners LP,Distribution Services
CAR,"Avis Budget Group, Inc.",Finance
CARA,"CARA Therapeutics, Inc.",Health Technology
CARG,"Cargurus, Inc.",Technology Services
CARR,Carrier Global Corp.,Producer Manufacturing
CARS,"Cars.com, Inc.",Technology Services
CASA,"Casa Systems, Inc.",Electronic Technology
CASH,"Meta Financial Group, Inc.",Finance
CASI,"CASI Pharmaceuticals, Inc.",Health Technology
CASS,"Cass Information Systems, Inc.",Technology Services
CASY,"Casey's General Stores, Inc.",Retail Trade
CAT,"Caterpillar, Inc.",Producer Manufacturing
CATC,Cambridge Bancorp,Finance
CATM,Cardtronics plc,Commercial Services
CATY,Cathay General Bancorp,Finance
CB,Chubb Ltd.,Finance
CBAT,"CBAK Energy Technology, Inc.",Producer Manufacturing
CBAY,"CymaBay Therapeutics, Inc.",Health Technology
CBB,"Cincinnati Bell, Inc.",Communications
CBMG,"Cellular Biomedicine Group, Inc.",Health Technology
CBOE,"Cboe Global Markets, Inc.",Finance
CBPO,"China Biologic Products Holdings, Inc.",Health Technology
CBRE,"CBRE Group, Inc.",Finance
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Services
CBSH,"Commerce Bancshares, Inc. (Missouri)",Finance
CBT,Cabot Corp.,Process Industries
CBTX,"CBTX, Inc. (Texas)",Finance
CBU,"Community Bank System, Inc.",Finance
CBZ,"CBIZ, Inc.",Commercial Services
CC,The Chemours Co.,Process Industries
CCAP,"Crescent Capital BDC, Inc.",Finance
CCBG,"Capital City Bank Group, Inc.",Finance
CCC,Clarivate Plc,Commercial Services
CCCC,"C4 Therapeutics, Inc.",Health Technology
CCEP,Coca-Cola European Partners Plc,Consumer Non-Durables
CCF,Chase Corp.,Process Industries
CCI,Crown Castle International Corp.,Finance
CCIV,Churchill Capital Corp. IV,Finance
CCJ,Cameco Corp.,Non-Energy Minerals
CCK,"Crown Holdings, Inc.",Process Industries
CCL,Carnival Corp.,Consumer Services
CCMP,"CMC Materials, Inc.",Electronic Technology
CCNE,CNB Financial Corp. (Pennsylvania),Finance
CCO,"Clear Channel Outdoor Holdings, Inc.",Commercial Services
CCOI,"Cogent Communications Holdings, Inc.",Communications
CCRN,"Cross Country Healthcare, Inc.",Commercial Services
CCS,"Century Communities, Inc.",Consumer Durables
CCX,Churchill Capital Corp. II,Finance
CCXI,"ChemoCentryx, Inc.",Health Technology
CCXX,Churchill Capital Corp. III,Finance
CDAY,"Ceridian HCM Holding, Inc.",Commercial Services
CDE,"Coeur Mining, Inc.",Non-Energy Minerals
CDK,"CDK Global, Inc.",Commercial Services
CDLX,"Cardlytics, Inc.",Technology Services
CDMO,"Avid Bioservices, Inc.",Health Technology
CDNA,"CareDx, Inc.",Health Technology
CDNS,"Cadence Design Systems, Inc.",Technology Services
