AAWW,"Atlas Air Worldwide Holdings, Inc.",Transportation,"Atlas Air Worldwide Holdings, Inc. engages in the provision of outsourced aircraft and aviation operating services. It operates through the following segments: ACMI, Charter, and Dry Leasing. The ACMI segment offers aircraft, crew, maintenance and insurance services to customers. The Charter segment comprises planeload air cargo and passenger aircraft charters, including the U.S. Military Air Mobility Command (AMC), brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers. The Dry Leasing segment includes leasing of aircraft and engines. The company was founded by Michael Chowdry in 1993 and is headquartered in Purchase, NY."
AAXN,"Axon Enterprise, Inc.",Electronic Technology,"Axon Enterprise, Inc. engages in the development, manufacturing, and sale of conducted electrical weapons for personal defense. It operates through the TASER Weapons and Software and Sensors segments. The TASER Weapons segment sells conducted electrical weapons, accessories, and other related products and services. The Software and Sensors segment includes devices, wearables, applications, cloud and mobile products. The company was founded by Patrick W. Smith and Thomas P. Smith on September 7, 1993 and is headquartered in Scottsdale, AZ."
AB,AllianceBernstein Holding LP,Finance,"AllianceBernstein Holding LP engages in the provision of research, diversified investment management and related services. It offers investment trusts, mutual funds, hedge funds and other investment vehicles. The company was founded in October 2000 and is headquartered in New York, NY."
ABBV,"AbbVie, Inc.",Health Technology,"AbbVie, Inc. is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products. It focuses on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology, and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease; metabolic diseases, comprising thyroid disease and complications associated with cystic fibrosis; pain associated with endometriosis; and other serious health conditions. The company was founded on October 19, 2011 and is headquartered in North Chicago, IL."
ABC,AmerisourceBergen Corp.,Distribution Services,"AmerisourceBergen Corp. engages provision of pharmaceutical products and business solutions that improve access to care. It operates through the Pharmaceutical Distribution Services and Other segments. The Pharmaceutical Distribution Services segment distributes a comprehensive offering of brand-name, specialty brand-name & generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies & equipment, outsourced compounded sterile preparations, and related services to a wide variety of healthcare providers, including acute care hospitals and health systems, independent & chain retail pharmacies, mail order pharmacies, medical clinics, long-term care & alternate site pharmacies, and other customers. The Other segment focuses on global commercialization services and animal health and includes ABCS, World Courier, and MWI. The company was founded in 1947 and is headquartered in Chesterbrook, PA."
ABCB,Ameris Bancorp,Finance,"Ameris Bancorp is a bank holding company, which through the subsidiary, Ameris Bank, engages in the provision of banking services to its retail and commercial customers. It operates through the following business segments: Banking, Retail Mortgage, Warehouse Lending, the SBA and Premium Finance. The Banking segment offers full service financial services to include commercial loans, consumer loans and deposit accounts. The Retail Mortgage segment includes origination, sales, and servicing of one-to-four family residential mortgage loans. The Warehouse Lending segment includes the origination and servicing of warehouse lines to other businesses that are secured by underlying one-to-four family residential mortgage loans. The SBA segment comprises of origination, sales, and servicing of small business administration loans. The Premium Finance segment comprises origination and servicing of commercial insurance premium finance loans. The company was founded on December 18, 1980 and is headquartered in Moultrie, GA."
ABG,"Asbury Automotive Group, Inc.",Retail Trade,"Asbury Automotive Group, Inc. operates as a holding company, which engages in the automotive dealership. Its services include oil change, car brakes, changing tires, check engine light, battery, and wheel alignment. The company was founded in 1995 and is headquartered in Duluth, GA."
ABM,"ABM Industries, Inc.",Commercial Services,"ABM Industries, Inc. engages in the provision of facility services for commercial, industrial, and institutional buildings. It operates through the following segments: Business & Industry, Aviation, Technology & Manufacturing, Education, and Technical Solutions. The Business & Industry segment encompasses janitorial, facilities engineering, and parking services for commercial real estate properties and sports and entertainment venues. It also provides vehicle maintenance services to rental car providers. The Aviation segment supports airlines and airports with parking and janitorial to passenger assistance, catering logistics, air cabin maintenance, and transportation. The Technology & Manufacturing segment provides janitorial, facilities engineering, and parking services. The Education segment delivers janitorial, custodial, landscaping & grounds, facilities engineering and parking services for public school districts, private schools, colleges and universities. The Technical Solutions segment engages in mechanical and electrical services. The company was founded by Morris Rosenberg in 1909 and is headquartered in New York, NY."
ABMD,"ABIOMED, Inc.",Health Technology,"ABIOMED, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It distributes its products under the Impella brand. The company was founded by David M. Lederman in 1981 and is headquartered in Danvers, MA."
ABR,"Arbor Realty Trust, Inc.",Finance,"Arbor Realty Trust, Inc. operates as real estate investment trust, which engages in the provision of loan origination and servicing for multifamily, seniors housing, healthcare, and diverse commercial real estate assets. It operates through the Structured Business and Agency Business segments. The Structured Business segment offers structured loan origination and investment services. The Agency Business segment involves in agency loan origination and servicing. The company was founded in June 2003 and is headquartered in Uniondale, NY."
ABT,Abbott Laboratories,Health Technology,"Abbott Laboratories engages in the discovery, development, manufacture, and sale of a broad and diversified line of health care products. It operates through the following segments: Established Pharmaceutical Products, Nutritional Products, Diagnostic Products, Cardiovascular and Neuromodulation Products, and Other. The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products. The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites. The Vascular Products segment trades coronary, endovascular, structural heart, vessel closure, and other medical device products. The Other segment comprises of Abbott Medical Optics. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL."
ABTX,"Allegiance Bancshares, Inc. (Texas)",Finance,"Allegiance Bancshares, Inc. operates as a bank holding company. It engages in the provision of commercial banking services primarily to Houston metropolitan area-based small to medium-sized businesses and individual customers. The company was founded by George Martinez and Steven F. Retzloff in 2007 and is headquartered in Houston, TX."
ABUS,Arbutus Biopharma Corp.,Health Technology,"Arbutus Biopharma Corp. engages in discovering, developing and commercializing a cure for patients suffering from chronic Hepatitis B virus infection. The company was founded in 2007 and is headquartered in Warminster, PA."
AC,"Associated Capital Group, Inc.",Finance,"Associated Capital Group, Inc. provides alternative investment management, institutional research and underwriting services. The company was founded by Mario Gabelli in 1976 and is headquartered in Rye, NY."
ACA,"Arcosa, Inc.",Producer Manufacturing,"Arcosa, Inc. engages in the provision of infrastructure-related products and services. It operates through the following segments: Construction Products, Energy Equipment, and Transportation Products. The Construction Products segment produces and sells construction aggregates, and manufactures and sells trench shields and shoring products and services for infrastructure-related projects. The Energy Equipment manufactures and sells products for energy-related businesses, including structural wind towers, steel utility structures for electricity transmission and distribution, and storage and distribution containers. The Transportation Products segment covers the manufacture and sale of products for the inland waterway and rail transportation industries, including barges, barge-related products, axles, and couplers. The company was founded in December 2017 and is headquartered in Dallas, TX."
ACAD,"ACADIA Pharmaceuticals, Inc.",Health Technology,"ACADIA Pharmaceuticals, Inc. operates as a biopharmaceutical company focused on the development and commercialization of medicines to address unmet medical needs in central nervous system, or CNS, disorders. The firms product include Nuplazid, which is used for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis. The company was founded by Mark R. Brann on July 16, 1993 and is headquartered in San Diego, CA."
ACAM,Acamar Partners Acquisition Corp.,Finance,"Acamar Partners Acquisition Corp. operates as a blank check company. It intends to focus on consumer and retail sectors, including but not limited to businesses operating in travel retail, food and beverage, luxury goods, fashion, lifestyle and leisure products and services, and consumer branded products. The company was founded on November 7, 2018 and is headquartered in Miami, FL."
ACB,"Aurora Cannabis, Inc.",Process Industries,"Aurora Cannabis, Inc. engages in the production, distribution and sale of cannabis products. It also produces and sells indoor cultivation systems and hemp related food products. The company was founded by Terry Booth and Steve Dobler on December 21, 2006 and is headquartered in Edmonton, Canada."
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,"Atlantic Capital Bancshares, Inc. is a holding company, which engages in the provision of commercial banking services. The company provides an array of credit, treasury management, and deposit products and services. It also provides capital markets, mortgage banking, and electronic banking services to its corporate, business, and individual clients. The company was founded in 2006 and is headquartered in Atlanta, GA."
ACC,"American Campus Communities, Inc.",Finance,"American Campus Communities, Inc. engages in the development, ownership, and management of student housing communities. It operates through the following segments: Owned Properties, On-Campus Participating Properties, Development Services, and Property Management Services. The Owned Properties segment refers to location with close proximity to the school campus, generally with pedestrian, bicycle, and university shuttle access. The On-Campus Participating Properties segment comprises of on-campus properties which are operated under long-term ground or facility leases with university systems. The Development Services segment includes development and construction management services that the company provides through taxable real estate investment trust subsidiaries for third-party owners. The Property Management Services segment covers marketing, leasing administration, facilities maintenance, business administration, accounts payable, accounts receivable, financial reporting, capital projects, and residence life student development. The company was founded by William C. Bayless Jr. in 1993 and is headquartered in Austin, TX."
ACCD,"Accolade, Inc. (Pennsylvania)",Technology Services,"Accolade, Inc. is an emerging growth company, which engages in the provision of personalized, technology-enabled solutions through a technology platform. It offers Accolade Total Benefits and Accolade Total Care. Accolade Total Benefits focuses on member benefits engagement and Accolade Total Care help guides members to healthcare providers. The company was founded by Thomas K. Spann and J. Michael Cline in 2007 and is headquartered in Seattle, WA."
ACCO,ACCO Brands Corp.,Producer Manufacturing,"ACCO Brands Corp. engages in the manufacture and marketing of office, school, calendar products, and select computer and electronic accessories. It operates through the followings segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The ACCO Brands North America segment includes the U.S. and Canada operations, wherein it manufactures, sources, and sells traditional office products, school supplies, and calendar products. The ACCO Brands EMEA segment deals with the design, sourcing, and distribution of storage and organization products, stapling, punching, laminating, binding and shredding products, do-it-yourself tools, and computer accessories in Europe, the Middle East, and Africa. The ACCO Brands International segments refers to the operations from the rest of the world, primarily Australia/New Zealand, Latin America, and Asia-Pacific The company was founded by Fred J. Kline in 1903 and is headquartered in Lake Zurich, IL."
ACEL,"Accel Entertainment, Inc.",Consumer Services,"Accel Entertainment, Inc. engages in the installation and operation of video gaming terminals in licensed video gaming locations. It also operates redemption terminals. The company was founded on December 8, 2010 and is headquartered in Burr Ridge, IL."
ACET,"Adicet Bio, Inc.",Health Technology,"Adicet Bio, Inc. is a biotechnology company which engages in the design and development of off-the-shelf allogeneic gamma delta T cell therapies for cancer and other diseases. The company was founded by Aya Jakobovits in November 2014 and is headquartered in Boston, MA."
ACGL,Arch Capital Group Ltd.,Finance,"Arch Capital Group Ltd. provides property and casualty insurance and reinsurance lines. It operates through the following segments: Insurance, Reinsurance, Mortgage, Corporate (Non-Underwriting), and Other. The Insurance segment consists of insurance underwriting units which offer specialty product lines like construction and national accounts, excess and surplus casualty, lenders products, professional lines, and programs. The Reinsurance segment is comprised of reinsurance underwriting which offer specialty product lines such as casualty, marine and aviation, other specialty, property catastrophe, property excluding property catastrophe, and other. The Mortgage segment is the operations that includes U.S. and international mortgage insurance and reinsurance operations as well as GSE credit risk sharing transactions. The Corporate (Non-Underwriting) segment includes net investment income, other income, corporate expense, interest expense, net realized gains and losses, net impairment losses. The Other segment refers to Watford Re. which is a variable interest entity. The company was founded by Clements Robert in 1995 and is headquartered in Hamilton, Bermuda."
ACHC,"Acadia Healthcare Co., Inc.",Health Services,"Acadia Healthcare Co., Inc. engages in the provision of behavioral healthcare services. It operates through the following business segments: United States (U.S.) Facilities and the United Kingdom (U.K.) Facilities. The U.S. Facilities segment classified in the following categories: acute inpatient psychiatric facilities; specialty treatment facilities; residential treatment centers; and outpatient community-based services. The U.K. Facilities segment provides inpatient services through facilities, including mental health hospitals, clinics, care homes, schools, colleges, and children's homes. The company was founded in January 2005 and is headquartered in Franklin, TN."
ACI,"Albertsons Cos., Inc.",Retail Trade,"Albertsons Cos., Inc. engages in the operation of food and drug retail stores. It offers grocery products, general merchandise, health and beauty care products, pharmacy, fuel, and other items and services. The company was founded by Joe Albertson on July 21, 1939 and is headquartered in Boise, ID."
ACIA,"Acacia Communications, Inc.",Electronic Technology,"Acacia Communications, Inc. is engaged in the development, manufacture, and sale of high-speed coherent optical interconnect products that are designed to transform communications networks through improvements in performance, capacity, and cost. The company was founded by Mehrdad Givehchi, Benny P. Mikkelsen, and Christian J. Rasmussen in June 2009 and is headquartered in Maynard, MA."
ACIU,AC Immune SA,Health Technology,"AC Immune SA engages in the discovery and development of therapeutic and diagnostic products for neurodegenerative diseases. It leverages proprietary technology platforms to discover, design, and develop novel, proprietary medicines for prevention, diagnosis, and treatment of neurodegenerative diseases associated with protein misfolding. The company was founded by Jean-Marie Lehn, Claude Nicolau, Roscoe Brady, Fred van Leuven, Ruth Greferath, Andrea Pfeifer, and Alexey V. Eleesiv on February 13, 2003 and is headquartered in Lausanne, Switzerland."
ACIW,"ACI Worldwide, Inc.",Technology Services,"ACI Worldwide, Inc. engages in the development, marketing, installation, and support of software products and solutions primarily focused on facilitating real-time electronic payments. It operates through the following segments: ACI on Premise and ACI on Demand.. The ACI on Premise segment serves customers who manage their software on site. The ACI on Demand segment covers the needs of banks, financial intermediaries, merchants, and corporates who use payments to facilitate their core business. The company was founded in 1975 and is headquartered in Naples, FL."
ACLS,"Axcelis Technologies, Inc.",Electronic Technology,"Axcelis Technologies, Inc. engages in the design, manufacture and service of dry strip, ion implantation and other processing equipment used in the fabrication of semiconductor chips. It provides service and support, including spare parts, equipment upgrades, maintenance services and customer training. The firms' products include Purion H, Optima HDx, Purion XE, Optima XEx, Paradigm XE, and Purion M. It also sells equipment and services through direct sales, distributors and manufacturing representatives. The company was founded in 1978 and is headquartered in Beverly, MA."
ACM,AECOM,Industrial Services,"AECOM engages in the design, build, finance, and operation of infrastructure assets for governments, businesses and organizations. It operates through the following segments: Design and Consulting Services, Construction Services, Management Services, and AECOM Capital. The Design and Consulting Services segment engages in planning, consulting, architectural and engineering design services to commercial and government clients, such as transportation, facilities, environmental, energy, water, and government. The Construction Services segment includes building construction & energy, and infrastructure & industrial construction. The Management Services segment refers to the program and facilities management and maintenance, training, logistics, consulting, technical assistance, and systems integration and information technology services primarily for agencies of the U.S. government and other national governments globally. The AECOM Capital segment engages in investing in real estate, public-private partnership and infrastructure projects. The company was founded on April 6, 1990 and is headquartered in Los Angeles, CA."
ACMR,"ACM Research, Inc.",Producer Manufacturing,"ACM Research, Inc. engages in the development, manufacture, and sale of single-wafer wet cleaning equipment. The firm supplies process solutions that semi conductor manufacturers can use in numerous manufacturing steps to remove particles, contaminants and other random defects, and thereby improve product yield. The company tools can be used in fabricating foundry, logic and memory chips, including dynamic random-access memory, or DRAM, and 3D NAND-flash memory chips. The company was founded by David H. Wang and Hui Wang in January 1998 and is headquartered in Fremont, CA."
ACN,Accenture Plc,Technology Services,"Accenture Plc engages in the provision of management consulting, technology, and outsourcing services. It operates through the following segments: Communications, Media, and Technology; Financial Services; Health and Public Service; Products; Resources; and Other. The Communications, Media, and Technology segment serves communications, media, high-tech, and software and platform companies through acceleration and delivery of digital transformation, development of comprehensive and industry-specific solutions, and enhance efficiency and business results. The company’s services include helping clients capture new growth by shifting to data-driven and platform-based models, optimizing their cost structures, increasing product and business model innovation, and differentiating and scaling digital experiences for their customers. The Financial Services segment serves the banking, capital markets, and insurance industries by addressing growth, cost and profitability pressures, industry consolidation, regulatory changes and the need to continually adapt to new digital technologies. The Health and Public Service segment serves healthcare payers and providers, as well as government departments and agencies, public service organizations, educational institutions, and non-profit organizations through provision of insights and offerings, including consulting services and digital solutions. The Products segment serves the following: Consumer Goods, Retail, and Travel Services group; Industrial group; and Life Sciences. The company helps clients enhance their performance in distribution and sales and marketing; in research and development and manufacturing; and in business functions such as finance, human resources, procurement and supply chain while leveraging technology. The Resources segment serves the chemicals, energy, forest products, metals and mining, utilities, and related industries by working to develop and execute innovative strategies, improve operations, manage complex change initiatives and integrate digital technologies. The Other segment represents the pension settlement charge. The company was founded in 1989 and is headquartered in Dublin, Ireland."
ACRE,Ares Commercial Real Estate Corp.,Finance,"Ares Commercial Real Estate Corp. engages in originating and investing in commercial real estate loans and related investments. The Company’s investments include senior mortgage loans, subordinated debt, preferred equity, mezzanine loans and other commercial real estate investments, including commercial mortgage backed securities, which are secured, directly or indirectly, by office, multifamily, retail, industrial, lodging, senior-living, self storage, student housing and other commercial real estate properties, or by ownership interests. Ares Commercial Real Estate was founded in September 2011 and is headquartered in New York, NY."
ADBE,"Adobe, Inc.",Technology Services,"Adobe, Inc. engages in the provision of digital marketing and media solutions. It operates through the following segments: Digital Media, Digital Experience, and Publishing. The Digital Media segment offers creative cloud services, which allow members to download and install the latest versions of products, such as Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Adobe Photoshop Light room and Adobe InDesign, as well as utilize other tools, such as Adobe Acrobat. The Digital Experience segment provides solutions, including analytics, social marketing, targeting, media optimization, digital experience management, and cross-channel campaign management, as well as premium video delivery and monetization. The Publishing segment includes legacy products and services for eLearning solutions, technical document publishing, web application development, and high-end printing. The company was founded by Charles M. Geschke and John E. Warnock in December 1982 and is headquartered in San Jose, CA."
ADC,Agree Realty Corp.,Finance,"Agree Realty Corp. is a real estate investment trust, which focuses on the ownership, development, acquisition, and management of retail properties net leased to national tenants. It specializes in acquiring and developing net leased retail properties for retail tenants. The company was founded by Richard Agree in 1971 and is headquartered in Bloomfield Hills, MI."
ADCT,ADC Therapeutics SA,Health Technology,"ADC Therapeutics SA is a clinical-stage biotechnology company, which engages in the research and development and commercialization of targeted antibody drug conjugates for patients with hematological malignancies and solid tumors. Its products include loncastuximab tesirine, camidanlumab tesirine, and ADCT-602. The company was founded by Christopher Martin on June 6, 2011 and is headquartered in Epalinges, Switzerland."
ADI,"Analog Devices, Inc.",Electronic Technology,"Analog Devices, Inc. engages in the design, development, manufacture, and marketing of integrated circuits (ICs). Its products include industrial process control systems, medical imaging equipment, factory process automation systems, patient vital signs monitoring devices, instrumentation and measurement systems, wireless infrastructure equipment, energy management systems, networking equipment, aerospace and defense electronics, optical systems, automobiles, and portable consumer devices. The company was founded by Raymond P. Stata and Matthew Lorber in 1965 and is headquartered in Norwood, MA."
ADM,Archer-Daniels-Midland Co.,Process Industries,"Archer-Daniels-Midland Co. processes oilseeds, corn, wheat, cocoa and other agricultural commodities. The company operates through the following segments: Ag Services and Oilseeds, Carbohydrate Solutions and Nutrition. The Ag Services and Oilseeds segment includes activities related to the origination, merchandising, crushing, and further processing of oilseeds such as soybeans and soft seeds, such as cottonseed, sunflower seed, canola, rapeseed, and flaxseed into vegetable oils and protein meals. The Carbohydrate Solutions segment engages in corn wet milling and dry milling activities; and also converts corn into sweeteners, starches, and bioproducts. The Nutrition segment provides customer needs for food, beverages, health and wellness, and more. Archer-Daniels-Midland was founded in 1902 and is headquartered in Chicago, IL."
ADMA,"ADMA Biologics, Inc.",Health Technology,"ADMA Biologics, Inc. operates as a biopharmaceutical company, which is engaged in the manufacturing, marketing and developing specialty plasma-derived biologics. The firm operates through the following business segments: ADMA BioManufacturing, Plasma Collection Center, and Corporate. The ADMA BioManufacturing segment comprises of the immune globulin manufacturing and development operations. The Plasma Collection Center consists of source plasma collection facilities. The Corporate segment includes general and administrative overhead expenses. The company was founded by Adam S. Grossman and Jerrold B. Grossman on June 2, 2006 and is headquartered in Hackensack, NJ."
ADNT,Adient plc,Producer Manufacturing,"Adient plc manufactures automotive seating systems. The firm's products include Complete Seats, Commercial vehicle seats, Structures & Mechanisms, Foam, Fabrics and Trim. It operates through the following segments: Seating, Seat Structures and Mechanism, and Interiors segments. The Seating segment produces automotive seat metal structures and mechanisms, foam, trim, and fabric. The Seat Structures and Mechanism segment produces seat structures and mechanisms for inclusion in complete seat systems that are produced by Adient or others. The Interiors segment offers instrument panels, floor consoles, door panels, overhead consoles, cockpit systems, and decorative trim. The company was founded on December 17, 2015 and is headquartered Dublin, Ireland."
ADP,"Automatic Data Processing, Inc.",Technology Services,"Automatic Data Processing, Inc. engages in the provision of business outsourcing solutions specializes in cloud-based human capital management. It operates through the following business segments: Employer Services; and Professional Employer Organization Services; and Other. The Employer Services segment provides clients ranging from single-employee small businesses to large enterprises with tens of thousands of employees around the world, offering a range of human resources outsourcing and technology-based human capital management solutions, including strategic, cloud-based platforms. The Professional Employer Organization Services segment offers small and mid-sized businesses a human resources outsourcing solution through a co-employment mode. The company was founded by Henry Taub in 1949 and is headquartered in Roseland, NJ."
ADPT,Adaptive Biotechnologies Corp.,Commercial Services,"Adaptive Biotechnologies Corp. engages in the development of an immune medicine platform. It harnesses the inherent biology of the adaptive immune system to transform the diagnosis and treatment of disease. Its products and services include immunoSEQ, clonoSEQ, cellular therapy, and vaccines. The company was founded by Chad Robins, Harlan Robins, and Chris Carlson in September 2009 and is headquartered in Seattle, WA."
ADS,Alliance Data Systems Corp.,Technology Services,"Alliance Data Systems Corp. engages in the provision of data-driven and transaction-based marketing and customer loyalty solutions. It operates through the following segments: LoyaltyOne, Epsilon and Card Services. The LoyaltyOne segment provides coalition and short-term loyalty programs. The Epsilon segment offers end-to-end, integrated marketing solutions. The Card Services offers risk management solutions, account origination, funding, transaction processing, customer care, collections, and marketing services for the company's private label and co-brand credit card programs. The company was founded in 1996 and is headquartered in Columbus, Ohio."
ADSK,"Autodesk, Inc.",Technology Services,"Autodesk, Inc. engages in the design of software and services. Its products include Autodesk 360 cloud services, AutoCAD civil 3D and LT, 3Ds Max, Maya, and Revit. The firm also offers development and manufacturing software, which provides manufacturers in automotive, transportation, industrial machinery, consumer products, and building product industries with comprehensive digital design, engineering, and production solutions; and digital media and entertainment, which consists of tools for digital sculpting, modeling, animation, effects, rendering, and compositing for design visualization, visual effects, and games production. The company was founded by John Walker in April 1982 and is headquartered in San Rafael, CA."
ADSW,"Advanced Disposal Services, Inc.",Industrial Services,"Advanced Disposal Services, Inc. offers waste disposal, collection and recycling services for residential, commercial, industrial and construction customers. The firm's services include recycling, residential, commercial, landfils, special waste, and transfer stations. It operates through the following segments: South, East, Midwest, and Corporate. The company was founded in November, 2000 and is headquartered in Ponte Vedra Beach, FL."
ADT,"ADT, Inc.",Commercial Services,"ADT, Inc. engages in providing monitored security, interactive home, and business automation and related monitoring services. It offers set of burglary, video, access control, fire and smoke alarm, and medical alert solutions for residential, commercial, and multi-site customers. The company was founded in May 2015 and is headquartered in Boca Raton, FL."
ADTN,"ADTRAN, Inc.",Electronic Technology,"ADTRAN, Inc. engages in the provision of networking and communications equipment. It operates through the Network Solutions and Services and Support business segment. The Network Solutions segment includes hardware products and next-generation virtualized solutions used in service provider or business networks, as well as prior-generation products. The Services and Support segment offers ProCloud managed services, network installation, engineering and maintenance services, and fee-based technical support and equipment repair/replacement plans. The company was founded by Mark C. Smith in November 1985 and is headquartered in Huntsville, AL."
ADUS,Addus HomeCare Corp.,Health Services,"Addus HomeCare Corp. engages in the provision of in-home personal care services. It operates through the following segments: Personal Care, Hospice, and Home Health. The Personal Care segment provides non-medical assistance with activities of daily living, primarily to persons who are at risk of hospitalization or institutionalization, such as the elderly, chronically ill or disabled. The Hospice segment includes physical, emotional, and spiritual care for people who are terminally ill as well as for their families. The Home Health segment offers services that are primarily medical in nature to individuals who may require assistance during an illness or after surgery, and include skilled nursing and physical, occupational and speech therapy. The company was founded on July 27, 2006 and is headquartered in Frisco, TX."
